GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.026	 1.025	 0.004	-0.035	 21.5	-38.605	-26.703	-13.474
 1.033	 1.032	 0.002	-0.043	 21.6	-38.925	-26.840	-14.221
 1.024	 1.023	 0.002	-0.040	 21.6	-38.528	-26.871	-14.221
 1.022	 1.021	 0.000	-0.048	 21.5	-38.727	-27.115	-13.748
 1.035	 1.034	 0.008	-0.046	 21.5	-38.834	-26.962	-13.794
 1.030	 1.029	-0.004	-0.044	 21.6	-38.773	-26.672	-14.343
 1.026	 1.025	 0.001	-0.038	 21.6	-38.849	-26.871	-14.282
 1.026	 1.025	 0.000	-0.039	 21.5	-38.574	-26.917	-13.672
 1.025	 1.024	 0.003	-0.047	 21.6	-38.818	-26.855	-13.962
 1.026	 1.025	 0.005	-0.041	 21.6	-38.788	-26.917	-14.328
 1.022	 1.022	 0.001	-0.032	 21.5	-38.818	-26.901	-14.038
 1.030	 1.029	 0.002	-0.036	 21.6	-38.757	-26.779	-13.504
 1.023	 1.022	 0.001	-0.040	 21.6	-38.483	-26.871	-13.885
 1.025	 1.024	 0.007	-0.039	 21.4	-38.864	-26.932	-14.389
 1.021	 1.020	 0.001	-0.040	 21.5	-38.773	-26.886	-13.794
 1.026	 1.026	 0.004	-0.037	 21.5	-38.727	-26.917	-13.504
 1.028	 1.027	-0.001	-0.042	 21.6	-38.666	-26.840	-14.130
 1.022	 1.021	 0.005	-0.040	 21.5	-38.727	-26.901	-14.511
 1.026	 1.025	 0.004	-0.039	 21.5	-38.773	-26.794	-13.702
 1.028	 1.028	 0.001	-0.041	 21.5	-38.818	-26.917	-13.794
 1.019	 1.018	 0.008	-0.042	 21.5	-38.757	-26.840	-14.282
 1.026	 1.025	 0.003	-0.046	 21.5	-39.017	-26.810	-14.236
 1.027	 1.026	-0.001	-0.041	 21.5	-38.589	-26.993	-13.794
 1.027	 1.026	-0.003	-0.045	 21.5	-38.605	-26.840	-13.687
 1.022	 1.021	 0.003	-0.044	 21.5	-38.788	-26.901	-14.465
 1.028	 1.027	 0.007	-0.048	 21.6	-38.803	-26.978	-14.084
 1.027	 1.026	 0.004	-0.038	 21.5	-38.666	-26.855	-13.412
 1.026	 1.025	 0.003	-0.036	 21.6	-38.635	-26.794	-13.901
 1.032	 1.032	 0.003	-0.032	 21.6	-38.773	-26.901	-14.282
